General poloidal plus toroidal field
135 3 -3
13  8 -3.312235e-04 -1.246979e-04
13  9  1.247655e-04 -9.335545e-05
13 10  1.230096e-04 -7.627807e-05
13 11  7.295276e-05 -7.778587e-05
13 12 -1.369023e-04 -7.998546e-05
13 13  1.181978e-04 -8.377838e-05
14  0  4.089333e-04 -1.134135e-06
14  1 -1.521113e-03 -2.108980e-03
14  2  2.881372e-04 -7.020554e-05
14  3  1.741087e-04  1.794085e-06
14  4 -2.736938e-04 -3.179995e-04
14  5 -5.454122e-04 -9.133808e-06
14  6  3.413944e-05  2.454630e-04
14  7 -1.616489e-04  2.505118e-04
14  8  1.067905e-03  3.968787e-04
14  9 -3.107244e-04 -9.158491e-06
14 10 -6.352507e-06  2.903168e-05
14 11 -3.453039e-04  5.615207e-06
14 12 -1.633123e-04 -1.173007e-04
14 13 -7.478632e-05 -3.821391e-05
14 14 -3.669260e-05  7.428874e-05
15  0 -8.725924e-05 -1.134135e-06
15  1 -2.050553e-03 -1.494481e-03
15  2  6.275646e-05 -1.134738e-04
15  3 -9.084800e-04 -1.223645e-04
15  4 -3.360756e-04  1.174550e-04
15  5  4.597797e-04  8.137500e-05
15  6  2.623248e-04 -1.677603e-04
15  7  1.194573e-05  3.563838e-05
15  8  1.840803e-04 -2.634254e-05
15  9  3.674585e-05 -2.053075e-04
15 10  5.109526e-05 -4.185062e-05
15 11 -5.842969e-05  6.465305e-05
15 12  1.019697e-04  1.085844e-04
15 13 -1.043411e-04 -8.432442e-05
15 14  8.262677e-05 -2.602465e-05
15 15 -4.521410e-05  1.414667e-05

